SampleName;Type;Subgenus
RA3_Blank-for-MS1_RA3_01_28729.mzXML;BlanksMS1;0
RA3_Blank-for-MS1_RA3_01_28807.mzXML;BlanksMS1;0
RA1_Blank-for-MS2_RA1_01_28665.mzXML;BlanksMS2;0
RA1_Blank-for-MS2_RA1_01_28731.mzXML;BlanksMS2;0
GA7P7_17mammillaris-MS1_GA7_01_28632.mzXML;MS1;Athymalus
GA4P7_14platyclada-MS1_GA4_01_28617.mzXML;MS1;Chamaesyce
GA5P7_15hyssopifolia-MS1_GA5_01_28622.mzXML;MS1;Chamaesyce
GA1P7_11peplus-MS1_GA1_01_28602.mzXML;MS1;Esula
GA9P7_19grandicornis-MS1_GA9_01_28642.mzXML;MS1;Euphorbia
GA10P7_110lactea-MS1_GA10_01_28647.mzXML;MS1;Euphorbia
GA11P7_111cylindrifolia-MS1_GA11_01_28652.mzXML;MS1;Euphorbia
BA7P7_17mammillaris_BA7_01_28630.mzXML;MS2;Athymalus
BA4P7_14platyclada_BA4_01_28615.mzXML;MS2;Chamaesyce
BA5P7_15hyssopifolia_BA5_01_28620.mzXML;MS2;Chamaesyce
BA1P7_11peplus_BA1_01_28600.mzXML;MS2;Esula
BA9P7_19grandicornis_BA9_01_28640.mzXML;MS2;Euphorbia
BA10P7_110lactea_BA10_01_28645.mzXML;MS2;Euphorbia
BA11P7_111cylindrifolia_BA11_01_28650.mzXML;MS2;Euphorbia
