inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
LCSPTLBPHFPXFQ	InChI=1S/C8H11NO2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5,10-11H,6-7H2	C8H11NO2	1	-2494.011470683248	N,N-dihydroxy-2-phenylethanamine	ON(O)CCC1=CC=CC=C1	0.5530000000000002	22288144	biological
DFXMZJIZWYNSBP	InChI=1S/C8H11NO2/c1-6(10)9-7-3-2-4-8(11)5-7/h5H,2-4H2,1H3,(H,9,10)	C8H11NO2	2	-2496.947380920209	N-(3-oxocyclohexen-1-yl)acetamide	O=C1C=C(N=C(O)C)CCC1	0.14599999999999996	2751403	ZINC bio:(ZINC04267971)
GWKXXFCTEUGKGX	InChI=1S/C8H11NO2/c1-6-3-4-7(5-9)11-8(6)10-2/h4,6,8H,3H2,1-2H3	C8H11NO2	3	-2499.2148563781197	2-methoxy-3-methyl-3,4-dihydro-2H-pyran-6-carbonitrile	N#CC=1OC(OC)C(C)CC1	1.1320000000000001	7159859;7159858;7159857;7159856;2751233	ZINC bio:(ZINC04267495 ZINC04267496 ZINC04267498 ZINC04267499)
FLDFLOSJSWMHOS	InChI=1S/C8H11NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h3,6,9-11H,1-2,4H2	C8H11NO2	4	-2499.501297100548	2,3,7,7a-tetrahydro-1H-indole-5,6-diol	[H]C12NCCC2=CC(O)=C(O)C1	0.15200000000000002	11963690;4369170	biological
WPFZZGBOOZDRBA	InChI=1S/C8H11NO2/c10-8-3-1-7(2-4-8)5-6-9-11/h1-4,9-11H,5-6H2	C8H11NO2	5	-2501.6916980047804	Phenol, 4-[2-(hydroxyamino)ethyl]-	ONCCC1=CC=C(O)C=C1	1.232	19076942	biological
WYNFZPDSCXNKBZ	InChI=1S/C8H11NO2/c1-9-5-6-7(10)3-2-4-8(6)11/h5,10H,2-4H2,1H3/p-1	C8H11NO2	6	-2502.1717618980065	""	O=C1C(C=NC)=C([O-])CCC1	0.16899999999999998	51576635	ZINC bio:(ZINC18037538)
FBPKMNMHUCBTNI	InChI=1S/C8H12NO2/c1-3-5-6-9-7-11-8(10)4-2/h4H,2-3,5-6H2,1H3/q+1	C8H12NO2	7	-2502.5741994374903	""	O=C(OC#[N+]CCCC)C=C	2.047	54307075	biological
SVKWIAWDUZLHGL	InChI=1S/C8H11NO2/c1-2-3-4-7(5-6-9)8(10)11/h5H,2-4H2,1H3,(H,10,11)	C8H11NO2	8	-2507.9026140456835	(2Z)-2-(cyanomethylidene)hexanoate	[H]C(C#N)=C(C(=O)O)CCCC	1.475	87174683;54326660;22999459;17874299	biological
JGURTAONFNVCSZ	InChI=1S/C8H11NO2/c1-9(2)5-6-7(10)3-4-8(6)11/h5H,3-4H2,1-2H3	C8H11NO2	9	-2511.2536746948945	2-[(dimethylamino)methylene]cyclopentane-1,3-dione	O=C1C(=CN(C)C)C(=O)CC1	-0.0030000000000000443	643368	ZINC bio:(ZINC04267316)
NAZDVUBIEPVUKE	InChI=1S/C8H11NO2/c1-10-6-3-4-8(11-2)7(9)5-6/h3-5H,9H2,1-2H3	C8H11NO2	10	-2511.448432879935	2,5 dimethoxy aniline	O(C=1C=CC(OC)=C(N)C1)C	1.035	7613	biological;Natural Products:(UNPD147504);ZINC bio:(ZINC00388087)
OOJGDPODQAPHLV	InChI=1S/C8H11NO2/c1-10-8-5-3-2-4-7(8)6-11-9/h2-5H,6,9H2,1H3	C8H11NO2	11	-2512.491259734809	O-(2-Methoxybenzyl)hydroxylamine	O(N)CC1=CC=CC=C1OC	0.616	461277	biological
KQNFWPZPMIRQPE	InChI=1S/C8H11NO2/c1-5-3-8(11)9-4-7(5)6(2)10/h4-5H,3H2,1-2H3,(H,9,11)	C8H11NO2	12	-2512.527418972482	5-acetyl-4-methyl-3,4-dihydro-1H-pyridin-2-one	O=C(C1=CN=C(O)CC1C)C	-0.07700000000000018	7160017;7160016;2751318	ZINC bio:(ZINC04267732 ZINC04267733)
BZMRNEWNOBBZCH	InChI=1S/C8H11NO2/c1-2-11-8-5-3-7(9-10)4-6-8/h3-6,9-10H,2H2,1H3	C8H11NO2	13	-2512.723238460064	N-Hydroxyphenetidine	ONC1=CC=C(OCC)C=C1	1.674	108115	MeSH:(N-hydroxyphenetidine);biological
XYKXZCKJWANUMA	InChI=1S/C8H11NO2/c1-7(8(10)11)5-3-2-4-6-9/h1-5H2,(H,10,11)	C8H11NO2	14	-2513.807873758892	""	N#CCCCCC(=C)C(=O)O	0.801	23196517;23196516	biological
WPFZZGBOOZDRBA	InChI=1S/C8H11NO2/c10-8-3-1-7(2-4-8)5-6-9-11/h1-4,9-11H,5-6H2	C8H11NO2	15	-2514.543556192785	Phenol, 4-[2-(hydroxyamino)ethyl]-	ONCCC1=CC=C(O)C=C1	1.232	19076942	biological
IRTCUYDVVYDKCX	InChI=1S/C8H11NO2/c1-3-4-6-5(2)7(10)9-8(6)11/h3-4H2,1-2H3,(H,9,10,11)	C8H11NO2	16	-2515.0136676117904	""	O=C1N=C(O)C(=C1CCC)C	1.374	44718966	Natural Products:(UNPD65891)
