shared.name;FeatureID;row.ID;FTIC Pn_delicatissima;FMEAN Pn_delicatissima;FMEDIAN Pn_delicatissima;FTIC System_Blank;FMEAN System_Blank;FMEDIAN System_Blank;FTIC 100;FMEAN 100;FMEDIAN 100;FTIC filtered;FMEAN filtered;FMEDIAN filtered;FTIC Blank;FMEAN Blank;FMEDIAN Blank;FTIC unfiltered;FMEAN unfiltered;FMEDIAN unfiltered;FTIC 0;FMEAN 0;FMEDIAN 0;FTIC Sample;FMEAN Sample;FMEDIAN Sample;FTIC 50;FMEAN 50;FMEDIAN 50;FTIC Procedure_Blank;FMEAN Procedure_Blank;FMEDIAN Procedure_Blank;FTIC Pn_multiseries;FMEAN Pn_multiseries;FMEDIAN Pn_multiseries;FTIC Pn_Subpacifica;FMEAN Pn_Subpacifica;FMEDIAN Pn_Subpacifica;FTIC Media;FMEAN Media;FMEDIAN Media;Blank_1;Blank_3;Media_Blank;blank_out;Pn_chubby14_100ml;Pn_chubby14_50ml;Pn_chubby14_unfil;Pn_delicatessima6_100ml;Pn_delicatessima6_50ml;Pn_delicatessima6_unfil;Pn_multiseries_100ml;Pn_multiseries_50ml;Pn_multiseries_unfil;Pn_skinny13_100ml;Pn_skinny13_50ml;Pn_skinny13_unfil;Pn_subpacifica5_100ml;Pn_subpacifica5_50ml;Pn_subpacifica5_unfil
1;773;X151.035.34.1..ID..773.;105940605.7;17656767.62;4005049.848;23630087.23;7876695.744;9659591.007;25795286.19;4299214.364;3716099.848;123475039.9;12347503.99;4309188.807;23630087.23;7876695.744;9659591.007;30419984.84;5069997.473;3759429.503;23630087.23;7876695.744;9659591.007;152498604.8;10166573.65;4490209.766;128099738.6;12809973.86;4537898.69;1396420;1396420;1396420;13496173.45;4498724.482;4585587.614;33061825.64;5510304.273;5023658.128;1396420;1396420;1396420;9659591.007;10391702.02;1396420;3578794.209;9896160;6143360;3028649.239;1513400;80368096;1487510;3454890;4585587.614;5455695.833;3977309.696;4032790;14561500;5557106.49;3946340.146;4490209.766
2;7541;X152.036.34.1..ID..7541.;50903213.69;8483868.949;1009636.306;1104952.213;368317.4042;303834.9619;8072154.614;1345359.102;879841.4537;56944601.62;5694460.162;1009636.306;1104952.213;368317.4042;303834.9619;5288532.242;881422.0404;644837.5733;1104952.213;368317.4042;303834.9619;61361089.46;4090739.298;720053.3606;54160979.25;5416097.925;644837.5733;872044.3987;872044.3987;872044.3987;2609977.672;869992.5573;569621.786;7847898.102;1307983.017;562133.6862;872044.3987;872044.3987;872044.3987;540200.201;303834.9619;872044.3987;260917.0496;3568043.839;2643981.698;316440.1903;887638.5087;45426792.08;720053.3606;1693437.363;346918.5231;569621.786;394705.6384;1131634.103;2342390;656284.8657;195165.0012;467982.5066
3;3444;X152.057.40.1..ID..3444.;18471543.57;3078590.595;1384302.5;459761.3847;153253.7949;172485.446;9936480.75;1656080.125;1025189.207;17076478.29;1707647.829;1125189.936;459761.3847;153253.7949;172485.446;21426827.83;3571137.972;2923215.057;459761.3847;153253.7949;172485.446;38314007.23;2554267.148;1625430;28566825.37;2856682.537;2037137.802;189298.8958;189298.8958;189298.8958;2807483.529;935827.843;270829.9695;17034980.13;2839163.355;2447795.69;189298.8958;189298.8958;189298.8958;178982.9445;108292.9943;189298.8958;172485.446;6298293.109;3270161.379;3418060;1122699.51;1009590.845;6119573.55;270829.9695;108283.4448;2428370.115;927678.9044;1645905.489;7646095.269;1127680.362;1295355.281;1625430
4;5324;X152.057.52.1..ID..5324.;13922964.55;2320494.092;1185034.034;335360.7011;111786.9004;112100.8101;8567537.616;1427922.936;881216.1913;13886596.01;1388659.601;881582.8571;335360.7011;111786.9004;112100.8101;19705342.06;3284223.676;3685975.672;335360.7011;111786.9004;112100.8101;33416280.87;2227752.058;1052000;25024400.45;2502440.045;1857304.909;175657.2007;175657.2007;175657.2007;3032182.14;1010727.38;280965.9728;16461134.17;2743522.362;1948029.21;175657.2007;175657.2007;175657.2007;50774.44507;112100.8101;175657.2007;172485.446;4960233.029;2844058.419;1052000;1388249.032;716831.1831;5226958.675;280965.9728;88606.34888;2662609.818;899765.1027;981819.0359;4709341.527;862667.28;863400.6115;5878774.835
5;2445;X153.033.34.1..ID..2445.;20549602.58;3424933.764;1022164.948;92962.74475;30987.58158;0;5061195.812;843532.6353;687998.9199;23259996.98;2325999.698;991342.0586;92962.74475;30987.58158;0;5020635.689;836772.6148;527144.748;92962.74475;30987.58158;0;27644937.51;1842995.834;740302.6797;23219436.86;2321943.686;610271.3975;635695.1602;635695.1602;635695.1602;2132350.285;710783.4284;418594.3359;4962984.638;827164.1064;423437.8594;635695.1602;635695.1602;635695.1602;0;0;635695.1602;92962.74475;1435820;2220768.895;350609.2731;740302.6797;14983400;801948.459;1434720.707;279035.2422;418594.3359;385780.0068;1242381.438;2395790;428877.2578;108910.752;417998.4609
6;7958;X154.087.37.1..ID..7958.;5236706.101;872784.3501;716280.3433;539952.5316;179984.1772;148626.041;3823597.194;637266.1991;598903.9932;5583820.268;558382.0268;566214.5901;539952.5316;179984.1772;148626.041;5986170.175;997695.0291;857920.9544;539952.5316;179984.1772;148626.041;11024565.29;734971.0191;621160.2747;7746393.249;774639.3249;626118.1203;545425.1567;545425.1567;545425.1567;1637359.442;545786.4806;613667.6979;4150499.744;691749.9573;629864.4087;545425.1567;545425.1567;545425.1567;36322.48645;148626.041;545425.1567;355004.0042;555781.4685;638568.5427;1128895.411;576647.7117;449795.7233;1049631.182;668669.608;355022.1357;613667.6979;855912.9749;322378.5092;1982340;621160.2747;539883.3196;666210.7272
7;7898;X155.129.37.1..ID..7898.;4495251.91;749208.6516;107681.7124;490273.6672;163424.5557;141870.0493;484489.3384;80748.22306;74885.76123;1094183.735;109418.3735;103933.595;490273.6672;163424.5557;141870.0493;4228807.559;704801.2598;37153.07373;490273.6672;163424.5557;141870.0493;5193492.632;346232.8422;75287.4834;4838501.955;483850.1955;114683.2834;129498.6611;129498.6611;129498.6611;282223.9248;94074.6416;74484.03906;416016.7979;69336.13298;83195.5127;129498.6611;129498.6611;129498.6611;348403.6179;141870.0493;129498.6611;0;62850.6582;103540.3672;8081.348633;38041.67383;140075.9414;31221.81445;74484.03906;164655.5527;43084.33301;75287.4834;205094.9966;4005530;104326.8228;125826.1997;11391.40137
8;2329;X157.084.102.1..ID..2329.;114536169.5;19089361.59;22121911.97;12879412.05;4293137.351;5902949.102;146297485.4;24382914.23;21895770.41;220275471.9;22027547.19;21895770.41;12879412.05;4293137.351;5902949.102;123178470.5;20529745.09;19102253.07;12879412.05;4293137.351;5902949.102;327099519;21806634.6;21850082.72;197156457;19715645.7;19723591.36;16354423.41;16354423.41;16354423.41;108945685.6;36315228.52;31305168.65;103617663.9;17269610.66;16841877.27;16354423.41;16354423.41;16354423.41;152262.293;6824200.656;16354423.41;5902949.102;24162040.83;10953968.56;16086654.55;27722170.73;6689922.381;22393741.21;49158930.42;28481586.48;31305168.65;9270420;26609832.48;21850082.72;19629500;17597100;15188400
9;933;X157.084.139.1..ID..933.;119281567.5;19880261.25;21850792.44;9493571.735;3164523.912;2179239.458;70044680;11674113.33;10212045;215991026;21599102.6;17809678.48;9493571.735;3164523.912;2179239.458;142684649.1;23780774.84;19422421.84;9493571.735;3164523.912;2179239.458;347231875.1;23148791.67;20823556.96;288630995.1;28863099.51;23119082.35;11443800;11443800;11443800;53177300;17725766.67;14795800;174773007.6;29128834.59;19762450.69;11443800;11443800;11443800;481178.0594;6833154.218;11443800;2179239.458;9246690;23558085.62;15966815.75;7397280;20823556.96;23360136.78;25576600;14795800;12804900;11177400;33645165.85;22878027.92;5202910;64567537.58;56230968.61
10;280;X157.084.118.1..ID..280.;79978420;13329736.67;12906450;0;0;0;106740500;17790083.33;14430250;191114720;19111472;13204050;0;0;0;64810310;10801718.33;8286645;0;0;0;255925030;17061668.67;12830000;149184530;14918453;11880750;0;0;0;26853390;8951130;8547220;149093220;24848870;21093950;0;0;0;0;0;0;0;13425200;12039100;7751920;15435300;12982900;11722400;10322900;8547220;7983270;18417800;12830000;8590020;49139300;37975000;28762700
